City,Country,Latitude,Longitude,Date,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Miquelon,PM,47.1,-56.38,1563121245,64.4,77,75,13.87
Visby,SE,57.64,18.3,1563121246,64.49,39,0,4.7
Yermakovskoye,RU,53.28,92.4,1563121246,66.65,70,69,4.54
Morehead,US,38.18,-83.43,1563121246,84.04,62,1,3.36
Uray,RU,60.13,64.8,1563121246,82.49,44,6,13.18
Yulara,AU,-25.24,130.99,1563121246,48.2,49,0,8.05
Vanavara,RU,60.35,102.28,1563121247,61.61,88,100,5.48
Hirara,JP,24.8,125.28,1563121247,84.11,83,0,9.64
Valparaiso,US,41.47,-87.06,1563121237,84.09,58,1,5.82
Surt,LY,31.21,16.59,1563121248,86.99,54,0,7.05
Guasdualito,VE,7.24,-70.73,1563121248,86.0,70,40,3.36
Chaoyang,CN,41.58,120.44,1563121248,68.45,71,11,0.58
Smithers,CA,54.78,-127.17,1563121248,57.2,87,75,4.7
Barranca,PE,-10.75,-77.76,1563121248,62.33,81,100,9.08
Vohibinany,MG,-17.35,49.03,1563121249,57.65,94,81,2.84
Machiques,VE,10.06,-72.55,1563121249,69.17,68,99,3.13
Nigrita,GR,40.91,23.5,1563121249,81.03,42,20,17.22
Plettenberg Bay,ZA,-34.05,23.37,1563121250,56.93,84,30,5.88
Saint-Leu,RE,-21.15,55.28,1563121250,63.27,60,75,6.93
Poltavka,RU,54.36,71.76,1563121250,74.75,74,0,7.99
Kayes,ML,14.44,-11.44,1563121250,98.6,47,20,9.17
Mayo,CA,63.59,-135.9,1563121251,59.0,72,20,1.57
Ambilobe,MG,-13.19,49.05,1563121251,75.83,54,17,11.48
Kita,JP,35.76,139.74,1563121251,69.12,100,90,5.82
Barmer,IN,25.74,71.4,1563121251,91.85,44,0,26.26
Rawson,AR,-43.3,-65.11,1563121252,49.73,50,99,17.31
Chitungwiza,ZW,-18.01,31.07,1563121252,69.8,16,0,10.29
That Phanom,TH,16.94,104.73,1563121252,79.79,80,100,3.24
Padang,ID,-0.92,100.36,1563121252,82.85,80,47,10.71
Bundaberg,AU,-24.87,152.35,1563121252,49.44,45,44,5.82
Pacifica,US,37.61,-122.49,1563120990,57.9,93,90,5.82
Fort-Shevchenko,KZ,44.51,50.26,1563121256,73.67,61,0,13.87
Jos,NG,9.92,8.9,1563121256,78.35,78,96,5.08
Biak,ID,-0.91,122.88,1563121256,59.81,98,93,5.95
Mega,ET,4.06,38.32,1563121257,80.69,40,100,21.45
Carutapera,BR,-1.2,-46.02,1563121257,83.75,68,100,10.0
Bayir,TR,37.27,28.22,1563121257,82.18,58,75,13.87
Rio Grande,BR,-32.03,-52.1,1563121257,57.2,71,75,9.17
Carmen,PH,7.36,125.71,1563121258,76.57,100,90,1.12
San Rafael,AR,-34.61,-68.33,1563121258,52.61,26,0,2.42
Kaohsiung,TW,22.62,120.31,1563121017,80.85,83,20,2.24
Belmonte,PT,40.36,-7.35,1563121258,88.21,46,0,7.0
La Asuncion,AR,-26.05,-65.39,1563121258,53.87,75,98,4.88
Sabang,PH,13.8,121.11,1563121259,74.21,96,100,1.83
Ulladulla,AU,-35.36,150.48,1563121259,51.1,58,0,27.51
Kanturk,IE,52.18,-8.91,1563121259,70.93,60,0,5.82
Gamba,CN,28.28,88.52,1563121259,45.77,61,77,6.6
Jackville,CI,5.21,-4.42,1563121259,82.4,74,20,10.29
Yar-Sale,RU,66.83,70.83,1563121260,74.93,72,44,10.16
Merauke,ID,-8.49,140.4,1563121260,77.81,83,100,23.55
La Orilla,MX,18.0,-102.23,1563121260,80.69,77,100,3.27
Novi Ligure,IT,44.76,8.79,1563121261,80.29,48,40,3.36
Toba,JP,34.47,136.83,1563121261,75.78,88,75,1.12
Beira,ES,43.2,-8.36,1563121261,73.8,65,20,6.93
Marawi,PH,8.0,124.29,1563121262,75.0,96,100,5.26
Chicama,PE,-7.84,-79.15,1563121262,64.4,82,90,8.05
Cartagena,ES,37.63,-1.0,1563121262,94.96,35,0,10.29
Tabou,CI,4.42,-7.36,1563121262,80.69,63,59,5.82
San Vicente,EC,-0.59,-80.41,1563121262,73.4,83,75,18.34
Macusani,PE,-14.07,-70.43,1563121263,44.33,40,0,5.28
Asmar,AF,35.03,71.36,1563121263,69.17,81,3,5.19
Chitral,PK,35.85,71.79,1563121263,52.79,36,0,10.13
Menongue,AO,-14.66,17.68,1563121263,81.95,11,4,5.84
Cap-aux-Meules,CA,47.38,-61.86,1563121263,64.4,82,75,18.34
Maralal,KE,1.1,36.7,1563121264,71.33,58,36,13.96
Prachuap Khiri Khan,TH,11.81,99.79,1563121264,72.95,94,98,6.15
Santa Isabel do Rio Negro,BR,-0.41,-65.02,1563121264,81.23,84,94,3.38
Sinnamary,GF,5.38,-52.96,1563121264,81.41,72,0,7.61
Porto Torres,IT,40.84,8.4,1563121265,81.72,69,0,13.87
Berlevag,NO,70.86,29.09,1563121265,45.68,75,75,8.05
Selcuk,TR,37.95,27.37,1563121265,74.91,73,40,9.17
Zhuanghe,CN,39.7,122.97,1563121266,66.83,91,22,2.82
Aqtobe,KZ,50.28,57.21,1563121266,84.2,42,40,6.71
Pacific Grove,US,36.62,-121.92,1563121266,60.98,82,90,6.93
Miraflores,PE,-16.39,-71.52,1563121266,66.2,11,0,6.93
Poum,MK,41.28,20.71,1563121267,73.4,35,40,9.17
Guacui,BR,-20.78,-41.68,1563121267,83.75,41,0,1.57
Shitanjing,CN,39.23,106.34,1563121267,73.99,40,99,3.0
Birin,NP,26.89,88.07,1563121267,62.33,99,100,1.34
Sortavala,RU,61.7,30.69,1563121268,64.0,48,44,1.01
Port Hardy,CA,50.7,-127.42,1563121268,57.2,93,90,5.82
Painesville,US,41.72,-81.25,1563121176,75.79,49,40,8.05
Angoche,MZ,-16.23,39.91,1563121269,71.51,81,8,6.06
Brownwood,US,31.71,-98.99,1563121017,85.32,58,40,10.29
Mahina,ML,13.76,-10.85,1563121269,95.09,41,0,6.4
Wattegama,LK,7.35,80.68,1563121269,74.75,90,100,3.53
Caranguejeira,PT,39.74,-8.71,1563121269,78.21,83,90,9.17
Brae,GB,60.4,-1.35,1563121269,55.4,87,75,8.05
Oranjemund,ZA,-28.55,16.43,1563121270,55.31,91,0,10.85
Tuburan,PH,10.73,123.82,1563121270,78.8,88,90,4.7
Katherine,AU,-14.47,132.26,1563121270,60.8,41,100,9.17
Treinta y Tres,UY,-33.23,-54.39,1563121270,52.07,72,19,6.46
Maragogi,BR,-9.01,-35.22,1563121271,77.27,84,62,9.66
Lipari,IT,38.47,14.95,1563121271,81.18,78,40,8.05
Srednekolymsk,RU,67.46,153.71,1563121271,55.49,56,28,19.48
Bay Saint Louis,US,30.31,-89.33,1563120992,80.49,88,90,10.29
Jacareacanga,BR,-6.22,-57.76,1563121272,89.69,45,93,5.88
Palembang,ID,-2.99,104.76,1563121272,74.03,89,5,4.0
Nantucket,US,41.28,-70.1,1563121272,83.03,83,1,13.87
Daitari,IN,21.11,85.83,1563121272,85.73,66,83,5.99
Charagua,BO,-19.79,-63.2,1563121273,60.8,93,90,2.84
Lander,US,42.83,-108.73,1563121273,75.54,46,1,4.7
Toledo,ES,39.86,-4.02,1563121206,89.47,26,0,5.82
Malanje,AO,-9.54,16.35,1563121276,82.4,69,0,4.27
Moree,AU,-29.46,149.84,1563121277,37.4,69,0,6.93
Varna,BG,43.22,27.9,1563121277,64.87,82,40,8.05
Trairi,BR,-3.28,-39.27,1563121277,87.71,46,40,7.72
Ursulo Galvan,MX,20.6,-97.44,1563121277,83.03,71,72,4.18
Gualaceo,EC,-2.89,-78.78,1563121278,60.8,77,90,4.7
Soyo,AO,-6.13,12.37,1563121278,77.0,73,89,6.93
Mount Isa,AU,-20.73,139.49,1563121278,53.6,27,12,10.29
Mumford,GH,5.26,-0.76,1563121278,82.13,68,71,7.58
Ipero,BR,-23.35,-47.69,1563121279,78.04,36,0,4.7
Thanh Hoa,VN,10.21,106.33,1563121279,80.6,100,75,5.82
Seymchan,RU,62.93,152.39,1563121279,64.31,45,34,6.6
Kununurra,AU,-15.77,128.74,1563121280,69.8,22,0,11.41
Shizunai,JP,42.33,142.37,1563121092,59.81,96,99,1.7
Pregradnoye,RU,45.82,41.75,1563121280,77.99,39,10,3.51
Houma,CN,35.63,111.36,1563121280,83.39,38,95,6.11
Lancaster,US,40.04,-76.31,1563121066,85.14,62,20,10.29
Marsh Harbour,BS,26.54,-77.06,1563121280,83.75,70,0,8.7
Puertollano,ES,38.69,-4.11,1563121281,90.25,30,0,4.0
Kudahuvadhoo,MV,2.67,72.89,1563121281,84.65,64,0,3.2
Inhambane,MZ,-23.87,35.38,1563121281,69.8,77,0,2.24
Sucre,BO,-19.05,-65.26,1563121281,62.6,21,0,1.99
Boralday,KZ,43.36,76.86,1563121284,77.0,38,40,4.47
Monrovia,LR,6.33,-10.8,1563121285,82.4,74,75,6.93
Ouadda,CF,8.07,22.4,1563121285,77.81,85,88,5.12
Pauini,BR,-7.71,-67.0,1563121285,89.33,49,0,3.2
Khor,RU,47.88,134.96,1563121285,63.59,90,100,6.64
Braganca,BR,-1.05,-46.77,1563121205,86.45,60,100,7.31
Nhamunda,BR,-2.19,-56.71,1563121286,80.87,91,42,3.4
Ormara,PK,25.21,64.64,1563121286,81.41,75,68,17.47
Heihe,RU,50.24,127.51,1563121286,66.2,100,40,2.24
Ambon,FR,47.55,-2.56,1563121287,79.34,47,0,13.87
La Ronge,CA,55.1,-105.3,1563121287,62.6,72,40,6.93
Kieta,PG,-6.22,155.63,1563121287,78.89,80,100,1.68
Birao,CF,10.3,22.78,1563121288,88.79,53,60,5.48
Swan River,CA,52.11,-101.27,1563121288,70.61,69,21,3.76
Kangaatsiaq,GL,68.31,-53.46,1563121288,43.79,79,0,14.9
Davidson,CA,51.26,-105.98,1563121289,77.0,70,6,1.01
Shimoda,JP,34.7,138.93,1563121289,72.0,96,100,4.0
Cambridge,CA,43.39,-80.31,1563121010,75.0,56,1,9.17
Broome,GB,52.47,1.45,1563121289,65.64,56,90,13.87
Thaba-Tseka,LS,-29.52,28.61,1563121289,46.85,28,0,9.33
Ngunguru,NZ,-35.62,174.5,1563121290,45.0,94,0,1.99
Dingle,PH,11.0,122.67,1563121290,74.39,89,100,4.56
Auki,NG,12.18,6.51,1563121290,90.59,43,80,7.61
Kilifi,KE,-3.63,39.85,1563121211,78.8,74,40,16.11
Prince Rupert,CA,54.32,-130.32,1563121135,59.0,93,90,3.36
Ritchie,ZA,-29.03,24.6,1563121291,71.6,14,0,2.24
Hamilton,CA,43.26,-79.87,1563121006,74.98,60,20,5.82
Rafsanjan,IR,30.4,55.99,1563121291,91.31,8,100,20.69
Sao Jose da Coroa Grande,BR,-8.9,-35.15,1563121291,77.27,84,62,9.66
